id,chunk_id,chunk_file,relative_timestamp,absolute_timestamp,sentence,sentence_pos
0,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(0.0, 1.18)","(0.0, 1.18)",Tov Balázsék!,"(0, 12)"
1,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(1.18, 4.5200000000000005)","(1.18, 4.5200000000000005)","Nézzétek ezeket a Burning Man-es képeket, gyerekek, itt a Sivatakban.","(14, 82)"
2,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(4.5200000000000005, 8.14)","(4.5200000000000005, 8.14)","Mi történt? Útól érte, útól érte a fesztiválozókat, a vihar.","(84, 143)"
3,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(8.14, 10.38)","(8.14, 10.38)","Ez egy furcsa fintora azért ez az időjárásnak,","(145, 190)"
4,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(10.38, 13.700000000000001)","(10.38, 13.700000000000001)","meg ennek a viszonylag korábban, régebben, a 80-as években,","(192, 250)"
5,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(13.700000000000001, 16.36)","(13.700000000000001, 16.36)","antikapitalista elvekét érdető Burning Man-nek,","(252, 298)"
6,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(16.36, 19.740000000000002)","(16.36, 19.740000000000002)","hogy az egyébként ma már az Amerikai egy százalék ott mulatozik,","(300, 363)"
7,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(19.740000000000002, 22.5)","(19.740000000000002, 22.5)","magán gépekkel érkeznek a Burning Man-knek,","(365, 407)"
8,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(22.5, 25.5)","(22.5, 25.5)","de elmosta az eső, és egy nap alatt annyi eső esetle,","(409, 461)"
9,0,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio000.mp3,"(25.5, 28.98)","(25.5, 28.98)",mint húnapokkal a soktal.,"(463, 487)"
10,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(0.0, 6.0)","(29.0, 35.0)","És ugye hát a sárba ragadt mindenki, gyerekek, egészen elképesztő felvételek vannak.","(489, 572)"
11,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(6.0, 10.0)","(35.0, 39.0)",Ugye hát ez tényleg nagyon durva.,"(574, 606)"
12,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(10.0, 17.0)","(39.0, 46.0)","Ez a Black Rock sivatakban van jelen pillanatban, oda helyezték át valamikor még így a fesztivál elején.","(608, 711)"
13,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(17.0, 21.0)","(46.0, 50.0)",És egy nap alatt ilyen havi vagy két havi eső mennyiségeset.,"(713, 772)"
14,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(21.0, 23.0)","(50.0, 52.0)",Senki nem fogadott volna rá.,"(774, 801)"
15,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(23.0, 28.0)","(52.0, 57.0)","70.000 ember ragadt be egyébként a Burning Man-en, úgyhogy seki sebe.","(803, 871)"
16,1,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio001.mp3,"(28.0, 29.0)","(57.0, 58.0)",Nem.,"(873, 876)"
17,2,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio002.mp3,"(0.0, 15.6)","(58.0, 73.6)","Pék nem voltám semmi baj. Addig ment a fesztivál, az utolsó napon akkor voltak a legtöbben, ugye a szombati záró napra kezdett el esni az eső, tényleg, mintha bezárták volna a dolgot, sőt még mondta is ugye a rendőrség, hogy lehetőség szerint mindenki maradjon a helyén.","(878, 1147)"
18,2,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio002.mp3,"(15.6, 28.8)","(73.6, 86.8)","Igen, senki nem mozduljon sehova, és mondták az amerikák, hogy rendben van, de nem is tudunk, mert hogy a luxus lakókocsik minden beragadt úgy a sárba, hogy nem tudnak sehova menni, ezért ez milyen szép, milyen metafórikus, milyen gyönyörű, nem?","(1149, 1393)"
19,3,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio003.mp3,"(0.0, 12.700000000000001)","(87.0, 99.7)","Hogy van egy önmagában egyébként jól szerveződő fesztivál, ami létrejön 80-as években, aztán kinövi magát, és valami egészen más lesz most, mint ami indult a 1985-ben vagy 1986-ban, mert ugye akkor indult a Burning Man.","(1395, 1613)"
